"","YearMonth","Year","Month","Season","Cryto.Biovolume","Cyano.Biovolume","Diatoms.Biovolume","Greens.Biovolume","waterlevel.masl","Daphnia","RB5.ChlA","RB5.DO","RB5.NO3","RB5.pH","RB5.SD","RB5.SRP","RB5.SRSi","RB5.Temp","RB5.TON","RB5.TP"
"369",2011-10-01,2011,10,"Autumn",500832.8813,29908.01921,3358987.41,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"370",2011-10-01,2011,10,"Autumn",500832.8813,29908.01921,6146759.061,278686.4743,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"371",2011-10-01,2011,10,"Autumn",500832.8813,29908.01921,6146759.061,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"372",2011-10-01,2011,10,"Autumn",500832.8813,80883.81978,3358987.41,278686.4743,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"373",2011-10-01,2011,10,"Autumn",500832.8813,80883.81978,3358987.41,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"374",2011-10-01,2011,10,"Autumn",500832.8813,80883.81978,6146759.061,278686.4743,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"375",2011-10-01,2011,10,"Autumn",500832.8813,80883.81978,6146759.061,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"376",2011-10-01,2011,10,"Autumn",142592.9802,29908.01921,3358987.41,278686.4743,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"377",2011-10-01,2011,10,"Autumn",142592.9802,29908.01921,3358987.41,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"378",2011-10-01,2011,10,"Autumn",142592.9802,29908.01921,6146759.061,278686.4743,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"379",2011-10-01,2011,10,"Autumn",142592.9802,29908.01921,6146759.061,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"380",2011-10-01,2011,10,"Autumn",142592.9802,80883.81978,3358987.41,278686.4743,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"381",2011-10-01,2011,10,"Autumn",142592.9802,80883.81978,3358987.41,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"382",2011-10-01,2011,10,"Autumn",142592.9802,80883.81978,6146759.061,278686.4743,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"383",2011-10-01,2011,10,"Autumn",142592.9802,80883.81978,6146759.061,534393.2024,106.996873,2.7,24.62,NA,NA,NA,NA,8.46,3.01,NA,NA,62.61
"384",2011-11-01,2011,11,"Autumn",233032.2643,19500.45213,4598828.124,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"385",2011-11-01,2011,11,"Autumn",233032.2643,19500.45213,4598828.124,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"386",2011-11-01,2011,11,"Autumn",233032.2643,19500.45213,3406062.357,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"387",2011-11-01,2011,11,"Autumn",233032.2643,19500.45213,3406062.357,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"388",2011-11-01,2011,11,"Autumn",233032.2643,8474.064234,4598828.124,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"389",2011-11-01,2011,11,"Autumn",233032.2643,8474.064234,4598828.124,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"390",2011-11-01,2011,11,"Autumn",233032.2643,8474.064234,3406062.357,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"391",2011-11-01,2011,11,"Autumn",233032.2643,8474.064234,3406062.357,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"392",2011-11-01,2011,11,"Autumn",67395.59611,19500.45213,4598828.124,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"393",2011-11-01,2011,11,"Autumn",67395.59611,19500.45213,4598828.124,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"394",2011-11-01,2011,11,"Autumn",67395.59611,19500.45213,3406062.357,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"395",2011-11-01,2011,11,"Autumn",67395.59611,19500.45213,3406062.357,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"396",2011-11-01,2011,11,"Autumn",67395.59611,8474.064234,4598828.124,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"397",2011-11-01,2011,11,"Autumn",67395.59611,8474.064234,4598828.124,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"398",2011-11-01,2011,11,"Autumn",67395.59611,8474.064234,3406062.357,501064.1967,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"399",2011-11-01,2011,11,"Autumn",67395.59611,8474.064234,3406062.357,67823.66162,106.877917,0.88,33.75,NA,NA,NA,NA,6.52,2.455,NA,NA,59.69
"400",2011-12-01,2011,12,"Winter",67027.28295,11168.76705,3018541.649,49280.42455,107.4181755,0.133333333333333,19.43,NA,NA,NA,NA,5.39,3.2,NA,NA,60.15
"401",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"402",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"403",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"404",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"405",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"406",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"407",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"408",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"409",2012-01-01,2012,1,"Winter",145329.8823,9969.162635,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"410",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"411",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"412",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"413",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"414",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"415",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"416",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"417",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"418",2012-01-01,2012,1,"Winter",145329.8823,1790.79691,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"419",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"420",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"421",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"422",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"423",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"424",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"425",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"426",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"427",2012-01-01,2012,1,"Winter",145329.8823,50046.75666,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"428",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"429",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"430",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"431",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"432",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"433",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"434",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"435",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"436",2012-01-01,2012,1,"Winter",414639.4269,9969.162635,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"437",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"438",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"439",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"440",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"441",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"442",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"443",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"444",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"445",2012-01-01,2012,1,"Winter",414639.4269,1790.79691,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"446",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"447",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"448",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"449",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"450",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"451",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"452",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"453",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"454",2012-01-01,2012,1,"Winter",414639.4269,50046.75666,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"455",2012-01-01,2012,1,"Winter",241907.111,9969.162635,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"456",2012-01-01,2012,1,"Winter",241907.111,9969.162635,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"457",2012-01-01,2012,1,"Winter",241907.111,9969.162635,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"458",2012-01-01,2012,1,"Winter",241907.111,9969.162635,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"459",2012-01-01,2012,1,"Winter",241907.111,9969.162635,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"460",2012-01-01,2012,1,"Winter",241907.111,9969.162635,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"461",2012-01-01,2012,1,"Winter",241907.111,9969.162635,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"462",2012-01-01,2012,1,"Winter",241907.111,9969.162635,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"463",2012-01-01,2012,1,"Winter",241907.111,9969.162635,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"464",2012-01-01,2012,1,"Winter",241907.111,1790.79691,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"465",2012-01-01,2012,1,"Winter",241907.111,1790.79691,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"466",2012-01-01,2012,1,"Winter",241907.111,1790.79691,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"467",2012-01-01,2012,1,"Winter",241907.111,1790.79691,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"468",2012-01-01,2012,1,"Winter",241907.111,1790.79691,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"469",2012-01-01,2012,1,"Winter",241907.111,1790.79691,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"470",2012-01-01,2012,1,"Winter",241907.111,1790.79691,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"471",2012-01-01,2012,1,"Winter",241907.111,1790.79691,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"472",2012-01-01,2012,1,"Winter",241907.111,1790.79691,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"473",2012-01-01,2012,1,"Winter",241907.111,50046.75666,3415227.327,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"474",2012-01-01,2012,1,"Winter",241907.111,50046.75666,3415227.327,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"475",2012-01-01,2012,1,"Winter",241907.111,50046.75666,3415227.327,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"476",2012-01-01,2012,1,"Winter",241907.111,50046.75666,1767030.577,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"477",2012-01-01,2012,1,"Winter",241907.111,50046.75666,1767030.577,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"478",2012-01-01,2012,1,"Winter",241907.111,50046.75666,1767030.577,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"479",2012-01-01,2012,1,"Winter",241907.111,50046.75666,5085585.873,96753.93982,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"480",2012-01-01,2012,1,"Winter",241907.111,50046.75666,5085585.873,101977.4096,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"481",2012-01-01,2012,1,"Winter",241907.111,50046.75666,5085585.873,311262.9438,107.036525,0.133333333333333,15.7666666666667,NA,NA,NA,NA,5.87,4.41333333333333,NA,NA,60.1333333333333
"482",2012-02-01,2012,2,"Winter",531643.272,18886.60926,6945512.14,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"483",2012-02-01,2012,2,"Winter",531643.272,18886.60926,6945512.14,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"484",2012-02-01,2012,2,"Winter",531643.272,18886.60926,6273072.23,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"485",2012-02-01,2012,2,"Winter",531643.272,18886.60926,6273072.23,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"486",2012-02-01,2012,2,"Winter",531643.272,96891.2972,6945512.14,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"487",2012-02-01,2012,2,"Winter",531643.272,96891.2972,6945512.14,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"488",2012-02-01,2012,2,"Winter",531643.272,96891.2972,6273072.23,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"489",2012-02-01,2012,2,"Winter",531643.272,96891.2972,6273072.23,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"490",2012-02-01,2012,2,"Winter",323118.8065,18886.60926,6945512.14,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"491",2012-02-01,2012,2,"Winter",323118.8065,18886.60926,6945512.14,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"492",2012-02-01,2012,2,"Winter",323118.8065,18886.60926,6273072.23,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"493",2012-02-01,2012,2,"Winter",323118.8065,18886.60926,6273072.23,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"494",2012-02-01,2012,2,"Winter",323118.8065,96891.2972,6945512.14,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"495",2012-02-01,2012,2,"Winter",323118.8065,96891.2972,6945512.14,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"496",2012-02-01,2012,2,"Winter",323118.8065,96891.2972,6273072.23,311967.3703,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"497",2012-02-01,2012,2,"Winter",323118.8065,96891.2972,6273072.23,157513.5228,107.096003,0.575,26.975,NA,NA,NA,NA,6.52,2.205,NA,NA,34.37
"498",2012-04-01,2012,4,"Spring",213495.9438,38645.11257,731578.0326,306533.5667,107.2298285,19.84,12.42,NA,NA,NA,NA,1.02,0.61,NA,NA,40.58
"499",2012-05-01,2012,5,"Spring",330115.521,4807.333502,208201.9996,105314.8477,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"500",2012-05-01,2012,5,"Spring",330115.521,4807.333502,208201.9996,362941.9209,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"501",2012-05-01,2012,5,"Spring",330115.521,4807.333502,208201.9996,93410.89084,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"502",2012-05-01,2012,5,"Spring",330115.521,4807.333502,1636483.512,105314.8477,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"503",2012-05-01,2012,5,"Spring",330115.521,4807.333502,1636483.512,362941.9209,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"504",2012-05-01,2012,5,"Spring",330115.521,4807.333502,1636483.512,93410.89084,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"505",2012-05-01,2012,5,"Spring",330115.521,4807.333502,114054.541,105314.8477,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"506",2012-05-01,2012,5,"Spring",330115.521,4807.333502,114054.541,362941.9209,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"507",2012-05-01,2012,5,"Spring",330115.521,4807.333502,114054.541,93410.89084,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"508",2012-05-01,2012,5,"Spring",330115.521,24935.39573,208201.9996,105314.8477,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"509",2012-05-01,2012,5,"Spring",330115.521,24935.39573,208201.9996,362941.9209,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
"510",2012-05-01,2012,5,"Spring",330115.521,24935.39573,208201.9996,93410.89084,107.462784,15.6,6.39333333333333,NA,NA,NA,NA,4.43333333333333,1.04,NA,NA,28.6966666666667
